Team,BaseCamp_City,Spielort,Spiel_Datum,Quartier_Lat,Quartier_Lon,Spielort_Lat,Spielort_Lon,Distanz_KM
Algerien,Kansas City,GEHA Field at Arrowhead Stadium,2026-06-17,39.10011,-94.57814,39.048855,-94.484474,10
Algerien,Kansas City,Levi's Stadium,2026-06-23,39.10011,-94.57814,37.403297,-121.969765,2390
Algerien,Kansas City,GEHA Field at Arrowhead Stadium,2026-06-28,39.10011,-94.57814,39.048855,-94.484474,10
Argentinien,Kansas City,GEHA Field at Arrowhead Stadium,2026-06-17,39.10011,-94.57814,39.048855,-94.484474,10
Argentinien,Kansas City,AT&T Stadium,2026-06-22,39.10011,-94.57814,32.748138,-97.093231,742
Argentinien,Kansas City,AT&T Stadium,2026-06-28,39.10011,-94.57814,32.748138,-97.093231,742
Australien,San Francisco,BC Place,2026-06-14,37.78794,-122.40752,49.276646,-123.112564,1279
Australien,San Francisco,Lumen Field,2026-06-19,37.78794,-122.40752,47.595135,-122.331917,1091
Australien,San Francisco,Levi's Stadium,2026-06-26,37.78794,-122.40752,37.403297,-121.969765,58
Belgien,Renton,Lumen Field,2026-06-15,47.47991,-122.20345,47.595135,-122.331917,16
Belgien,Renton,SoFi Stadium,2026-06-21,47.47991,-122.20345,33.953438,-118.339447,1538
Belgien,Renton,BC Place,2026-06-27,47.47991,-122.20345,49.276646,-123.112564,211
Bosnien und Herzegowina,Sandy,BMO Field,2026-06-12,40.57105,-111.89538,43.633087,-79.418961,2684
Bosnien und Herzegowina,Sandy,SoFi Stadium,2026-06-18,40.57105,-111.89538,33.953438,-118.339447,930
Bosnien und Herzegowina,Sandy,Lumen Field,2026-06-24,40.57105,-111.89538,47.595135,-122.331917,1140
Brasilien,New York,MetLife Stadium,2026-06-14,40.71273,-74.00602,40.813477,-74.074951,13
Brasilien,New York,Lincoln Financial Field,2026-06-20,40.71273,-74.00602,39.901325,-75.167862,134
Brasilien,New York,Hard Rock Stadium,2026-06-25,40.71273,-74.00602,25.95783,-80.239326,1739
Curacao,Boca Raton,NRG Stadium,2026-06-14,26.35869,-80.0831,29.684702,-95.410965,1548
Curacao,Boca Raton,GEHA Field at Arrowhead Stadium,2026-06-21,26.35869,-80.0831,39.048855,-94.484474,1946
Curacao,Boca Raton,Lincoln Financial Field,2026-06-25,26.35869,-80.0831,39.901325,-75.167862,1573
Deutschland,Winston-Salem,NRG Stadium,2026-06-14,36.09981,-80.24405,29.684702,-95.410965,1583
Deutschland,Winston-Salem,BMO Field,2026-06-20,36.09981,-80.24405,43.633087,-79.418961,841
Deutschland,Winston-Salem,MetLife Stadium,2026-06-25,36.09981,-80.24405,40.813477,-74.074951,750
Ecuador,Columbus,Lincoln Financial Field,2026-06-15,39.96226,-83.00071,39.901325,-75.167862,668
Ecuador,Columbus,GEHA Field at Arrowhead Stadium,2026-06-21,39.96226,-83.00071,39.048855,-94.484474,990
Ecuador,Columbus,MetLife Stadium,2026-06-25,39.96226,-83.00071,40.813477,-74.074951,762
Elfenbeinküste,Philadelphia,Lincoln Financial Field,2026-06-15,39.95272,-75.16353,39.901325,-75.167862,6
Elfenbeinküste,Philadelphia,BMO Field,2026-06-20,39.95272,-75.16353,43.633087,-79.418961,540
Elfenbeinküste,Philadelphia,Lincoln Financial Field,2026-06-25,39.95272,-75.16353,39.901325,-75.167862,6
England,Kansas City,AT&T Stadium,2026-06-17,39.10011,-94.57814,32.748138,-97.093231,742
England,Kansas City,Gillette Stadium,2026-06-23,39.10011,-94.57814,42.09079,-71.264404,1990
England,Kansas City,MetLife Stadium,2026-06-27,39.10011,-94.57814,40.813477,-74.074951,1754
Frankreich,Boston,MetLife Stadium,2026-06-16,42.35883,-71.05783,40.813477,-74.074951,304
Frankreich,Boston,Lincoln Financial Field,2026-06-22,42.35883,-71.05783,39.901325,-75.167862,439
Frankreich,Boston,Gillette Stadium,2026-06-26,42.35883,-71.05783,42.09079,-71.264404,34
Ghana,Boston,BMO Field,2026-06-18,42.35883,-71.05783,43.633087,-79.418961,694
Ghana,Boston,Gillette Stadium,2026-06-23,42.35883,-71.05783,42.09079,-71.264404,34
Ghana,Boston,Lincoln Financial Field,2026-06-27,42.35883,-71.05783,39.901325,-75.167862,439
Haiti,New York,Gillette Stadium,2026-06-14,40.71273,-74.00602,42.09079,-71.264404,275
Haiti,New York,Lincoln Financial Field,2026-06-20,40.71273,-74.00602,39.901325,-75.167862,134
Haiti,New York,Mercedes-Benz Stadium,2026-06-25,40.71273,-74.00602,33.755371,-84.401436,1201
Irak,Greenbrier County,Gillette Stadium,2026-06-17,37.80409,-80.46134,42.09079,-71.264404,917
Irak,Greenbrier County,Lincoln Financial Field,2026-06-22,37.80409,-80.46134,39.901325,-75.167862,514
Irak,Greenbrier County,BMO Field,2026-06-26,37.80409,-80.46134,43.633087,-79.418961,654
Iran,Tijuana,SoFi Stadium,2026-06-16,32.53174,-117.01953,33.953438,-118.339447,200
Iran,Tijuana,SoFi Stadium,2026-06-21,32.53174,-117.01953,33.953438,-118.339447,200
Iran,Tijuana,Lumen Field,2026-06-27,32.53174,-117.01953,47.595135,-122.331917,1734
Japan,Nashville,AT&T Stadium,2026-06-14,36.16228,-86.7743,32.748138,-97.093231,1019
Japan,Nashville,Estadio BBVA,2026-06-21,36.16228,-86.7743,25.669132,-100.244621,1732
Japan,Nashville,AT&T Stadium,2026-06-26,36.16228,-86.7743,32.748138,-97.093231,1019
Jordanien,Portland,Levi's Stadium,2026-06-17,45.52025,-122.67419,37.403297,-121.969765,904
Jordanien,Portland,Levi's Stadium,2026-06-23,45.52025,-122.67419,37.403297,-121.969765,904
Jordanien,Portland,AT&T Stadium,2026-06-28,45.52025,-122.67419,32.748138,-97.093231,2606
Kanada,Vancouver,BMO Field,2026-06-12,49.26087,-123.11395,43.633087,-79.418961,3357
Kanada,Vancouver,BC Place,2026-06-19,49.26087,-123.11395,49.276646,-123.112564,2
Kanada,Vancouver,BC Place,2026-06-24,49.26087,-123.11395,49.276646,-123.112564,2
Kap Verde,Tampa,Mercedes-Benz Stadium,2026-06-15,27.94499,-82.45831,33.755371,-84.401436,672
Kap Verde,Tampa,Hard Rock Stadium,2026-06-22,27.94499,-82.45831,25.95783,-80.239326,312
Kap Verde,Tampa,NRG Stadium,2026-06-27,27.94499,-82.45831,29.684702,-95.410965,1276
Katar,Santa Barbara,Levi's Stadium,2026-06-13,34.42213,-119.70267,37.403297,-121.969765,389
Katar,Santa Barbara,BC Place,2026-06-19,34.42213,-119.70267,49.276646,-123.112564,1675
Katar,Santa Barbara,Lumen Field,2026-06-24,34.42213,-119.70267,47.595135,-122.331917,1481
Kolumbien,Guadalajara,Estadio Banorte,2026-06-18,20.67204,-103.3384,19.302837,-99.150803,463
Kolumbien,Guadalajara,Estadio Akron,2026-06-24,20.67204,-103.3384,20.681721,-103.463135,13
Kolumbien,Guadalajara,Hard Rock Stadium,2026-06-28,20.67204,-103.3384,25.95783,-80.239326,2427
Kongo,Houston,NRG Stadium,2026-06-17,29.75894,-95.3677,29.684702,-95.410965,9
Kongo,Houston,Estadio Akron,2026-06-24,29.75894,-95.3677,20.681721,-103.463135,1296
